Aggregate, n = 1024,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 226.19 ms | 2.5090 s | 3.6813 s | 5.4959 s | 8.6015 s |
| 2 | 2.3516 ms | 6.6624 ms | 9.2198 ms | 12.504 ms | 18.710 ms |
| 4 | 3.5158 ms | 12.362 ms | 17.215 ms | 24.122 ms | 36.409 ms |
| 8 | 5.4517 ms | 23.394 ms | 32.687 ms | 46.656 ms | 70.670 ms |
| 16 | 8.8560 ms | 44.613 ms | 62.978 ms | 90.965 ms | 139.36 ms |
| 32 | 14.419 ms | 85.447 ms | 122.75 ms | 178.81 ms | 275.19 ms |
| 64 | 23.750 ms | 166.54 ms | 239.94 ms | 352.68 ms | 545.42 ms |
| 128 | 40.804 ms | 325.86 ms | 473.62 ms | 698.58 ms | 1.0861 s |
| 256 | 71.169 ms | 643.56 ms | 936.40 ms | 1.3865 s | 2.1624 s |

Aggregate, n = 16,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 225.20 ms | 2.5125 s | 3.6854 s | 5.4858 s | 8.2926 s |
| 2 | 2.2754 ms | 6.4782 ms | 9.0132 ms | 12.102 ms | 18.043 ms |
| 4 | 3.4240 ms | 11.987 ms | 16.399 ms | 22.862 ms | 34.824 ms |
| 8 | 5.3665 ms | 22.724 ms | 31.374 ms | 44.314 ms | 68.379 ms |
| 16 | 8.5402 ms | 42.790 ms | 60.802 ms | 87.166 ms | 134.64 ms |
| 32 | 13.662 ms | 81.808 ms | 117.25 ms | 171.88 ms | 264.20 ms |
| 64 | 22.766 ms | 162.26 ms | 229.76 ms | 338.09 ms | 526.07 ms |
| 128 | 39.129 ms | 313.29 ms | 454.76 ms | 671.85 ms | 1.0438 s |
| 256 | 67.745 ms | 621.47 ms | 901.82 ms | 1.3351 s | 2.0813 s |

Aggregate, n = 64,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 215.89 ms | 2.4163 s | 3.5408 s | 5.2752 s | 8.2705 s |
| 2 | 2.2528 ms | 6.5642 ms | 8.6771 ms | 12.402 ms | 18.157 ms |
| 4 | 3.3735 ms | 12.121 ms | 16.574 ms | 22.853 ms | 34.901 ms |
| 8 | 5.3183 ms | 22.395 ms | 30.849 ms | 44.294 ms | 68.581 ms |
| 16 | 8.3123 ms | 42.807 ms | 60.053 ms | 87.061 ms | 136.44 ms |
| 32 | 13.848 ms | 82.784 ms | 117.97 ms | 170.21 ms | 267.66 ms |
| 64 | 22.838 ms | 159.27 ms | 228.92 ms | 338.75 ms | 524.19 ms |
| 128 | 39.366 ms | 314.92 ms | 455.88 ms | 668.87 ms | 1.0425 s |
| 256 | 67.711 ms | 618.16 ms | 898.23 ms | 1.3296 s | 2.0760 s |

Aggregate, n = 256,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 215.77 ms | 2.4451 s | 3.7092 s | 5.5321 s | 8.6676 s |
| 2 | 2.2356 ms | 6.8124 ms | 9.2305 ms | 12.872 ms | 19.174 ms |
| 4 | 3.6251 ms | 12.600 ms | 17.384 ms | 24.397 ms | 37.000 ms |
| 8 | 5.6017 ms | 23.435 ms | 33.161 ms | 47.220 ms | 71.258 ms |
| 16 | 8.8335 ms | 44.480 ms | 63.310 ms | 91.168 ms | 140.68 ms |
| 32 | 14.373 ms | 86.515 ms | 123.65 ms | 179.66 ms | 278.77 ms |
| 64 | 24.105 ms | 168.27 ms | 241.66 ms | 356.34 ms | 551.35 ms |
| 128 | 40.821 ms | 328.90 ms | 475.04 ms | 703.99 ms | 1.0963 s |
| 256 | 72.029 ms | 649.98 ms | 944.50 ms | 1.3965 s | 2.1831 s |

