Verify, n = 1024,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 1.1255 s | 1.4682 s | 1.8176 s | 2.3741 s | 3.3469 s |
| 2 | 6.2661 ms | 7.0151 ms | 7.5966 ms | 8.7508 ms | 10.651 ms |
| 4 | 8.3564 ms | 9.7969 ms | 11.229 ms | 13.286 ms | 16.996 ms |
| 8 | 12.640 ms | 15.353 ms | 18.059 ms | 22.434 ms | 30.055 ms |
| 16 | 21.168 ms | 26.512 ms | 32.036 ms | 40.606 ms | 55.966 ms |
| 32 | 38.107 ms | 49.050 ms | 59.832 ms | 77.247 ms | 107.45 ms |
| 64 | 72.167 ms | 93.481 ms | 115.44 ms | 150.00 ms | 211.20 ms |
| 128 | 140.30 ms | 183.03 ms | 227.01 ms | 296.67 ms | 418.67 ms |
| 256 | 278.45 ms | 363.90 ms | 451.67 ms | 589.26 ms | 833.27 ms |

Verify, n = 16,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 1.1143 s | 1.4566 s | 1.8042 s | 2.3274 s | 3.1981 s |
| 2 | 6.0039 ms | 6.5925 ms | 7.4894 ms | 8.4499 ms | 10.259 ms |
| 4 | 8.1267 ms | 9.2930 ms | 10.708 ms | 12.590 ms | 16.372 ms |
| 8 | 12.206 ms | 14.915 ms | 17.861 ms | 21.431 ms | 28.855 ms |
| 16 | 20.608 ms | 25.458 ms | 31.355 ms | 38.949 ms | 53.569 ms |
| 32 | 37.431 ms | 46.296 ms | 58.414 ms | 73.212 ms | 102.95 ms |
| 64 | 70.365 ms | 90.358 ms | 110.67 ms | 144.29 ms | 203.80 ms |
| 128 | 134.86 ms | 175.44 ms | 217.12 ms | 287.97 ms | 400.66 ms |
| 256 | 267.60 ms | 347.07 ms | 432.33 ms | 565.24 ms | 796.58 ms |

Verify, n = 64,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 1.0716 s | 1.4009 s | 1.7662 s | 2.2646 s | 3.2075 s |
| 2 | 5.9693 ms | 6.5691 ms | 7.3698 ms | 8.3815 ms | 10.219 ms |
| 4 | 8.0678 ms | 9.3997 ms | 10.502 ms | 12.806 ms | 16.348 ms |
| 8 | 12.301 ms | 14.520 ms | 17.317 ms | 21.794 ms | 28.920 ms |
| 16 | 20.329 ms | 25.471 ms | 30.450 ms | 38.975 ms | 53.495 ms |
| 32 | 36.729 ms | 46.645 ms | 58.272 ms | 76.012 ms | 103.34 ms |
| 64 | 70.151 ms | 90.967 ms | 111.58 ms | 143.58 ms | 202.29 ms |
| 128 | 134.88 ms | 176.63 ms | 218.80 ms | 285.42 ms | 401.86 ms |
| 256 | 268.23 ms | 350.19 ms | 434.90 ms | 565.42 ms | 801.12 ms |

Verify, n = 256,

|# commit  |1 proof per commit | 2 proof per commit  | 4 proof per commit | 8 proof per commit | 16 proof per commit |
|---|---:|---:|---:|---:|---:|
| 1024 | 1.0675 s | 1.4647 s | 1.8166 s | 2.3743 s | 3.3557 s |
| 2 | 6.2872 ms | 7.0224 ms | 7.6953 ms | 8.7488 ms | 10.794 ms |
| 4 | 8.4477 ms | 9.7681 ms | 11.215 ms | 13.467 ms | 17.259 ms |
| 8 | 12.701 ms | 15.663 ms | 18.242 ms | 22.788 ms | 30.175 ms |
| 16 | 21.248 ms | 26.554 ms | 32.277 ms | 41.257 ms | 56.107 ms |
| 32 | 38.590 ms | 49.539 ms | 59.926 ms | 77.611 ms | 108.05 ms |
| 64 | 72.844 ms | 94.984 ms | 116.42 ms | 150.73 ms | 212.84 ms |
| 128 | 141.45 ms | 184.01 ms | 229.37 ms | 298.52 ms | 420.11 ms |
| 256 | 278.91 ms | 366.12 ms | 452.43 ms | 593.43 ms | 843.39 ms |

